id,authorDisplayName,textOriginal,publishedAt
1254816741697323011,Aris Land,"คนอะไรคุยกับผมเป็นด้วย 5555
@mmikesiri 
#2getherTheSeriesep10 
#แมนไทป์ #แมน #คั่นกู #เพราะเราคู่กัน https://t.co/hS5crPXktx",Mon Apr 27 16:56:39 +0000 2020
1254816677826461698,PS Brother,"สบู่ ยาสีฟัน แปรงสีฟัน ยาสระผม ครีมนวดผม ที่โกนหนวด ครีมโกนหนวด, ซื้อเกงในมาให้ด้วย 🥰 #คั่นกู",Mon Apr 27 16:56:24 +0000 2020
1254816564290846726,Marimo,"ฉันกำลังจะตายเพราะพวกนาง 😂😂😂
#ไบร์ทวิน
#bbrigthvc #winmetawin​ #snowballpower​ #คั่นกู #2getherseries  #เพราะเราคู่กัน https://t.co/diGY02TNqE",Mon Apr 27 16:55:56 +0000 2020
1254816265308270592,PS Brother,"อะไรที่เกี่ยวกับมึง, กูก็เก็บไว้หมดอะ 🥰 #คั่นกู",Mon Apr 27 16:54:45 +0000 2020
1254816167165755405,W&B,มิติใหม่ของการแต่งหน้า🤣🤣🤣🤣#สุดยอดมากเวลามันมีน้อยอะเนอะ  #2getherTheSeries #bbrightvc #GMM25 #winmetawin #คั่นกู #ไบรท์วิน https://t.co/SzbOONHdPd,Mon Apr 27 16:54:22 +0000 2020
1254815343232430080,𝐁𝐨𝐲𝐲.,ขายไฟล์นิยาย #เพราะเราคู่กัน ทั้ง2เล่ม+ตอนพิเศษ ราคา50บาท ถูกมาก สนใจDMมาเลย เป็นPDF ส่งไฟล์เป็นไดร์ฟน้าาา  #คั่นกู #เพราะเราคู่กัน #ขายของ #ไบร์ทวิน #แอพดีบอกต่อ #dek63 #Dek64 #แจกฟรีไม่รีได้ไง #ShopeeTH #คั่นกูEP11 #2getherseries #เราไม่ทิ้งกัน #แกงเขียวหวาน,Mon Apr 27 16:51:05 +0000 2020
1254814847679688704,คนเดินดิน,"ยิ่งกว่าโคนัน ก็คือเหล่าชิปเปอร์​นี้ละ 😂😂😂
#ไบร์ทวิน
#bbrigthvc #winmetawin​ #snowballpower​ #คั่นกู #2getherseries  #เพราะเราคู่กัน https://t.co/LltFm8wAXO",Mon Apr 27 16:49:07 +0000 2020
1254814347613765636,บพ,"คาดหวัง ss2 ได้ไหม ให้กันได้รึป่าว🥺

#brightwin #ไบร์ทวิน #คั่นกู
#okmagazinethailand https://t.co/xdZ0z4IiPm",Mon Apr 27 16:47:08 +0000 2020
1254813863045763072,อะไรครับเนี้ยยย,นี่เข้าใจตัวละครสารวัตรที่ชอบพิมผิดนะ  เราก็พิมไม่เคยถูกเลย ต้องลบๆพิมใหม่ ก็ยังผิดอ่ั  สึส #คั่นกู,Mon Apr 27 16:45:12 +0000 2020
1254813790538919936,𝒔𝒐𝒅𝒔𝒂𝒊✨,เปิด #คั่นกู ทิ้งไว้ ล่าสุดแม่มานั่งดูด้วยแล้ว 5555555555,Mon Apr 27 16:44:55 +0000 2020
1254813680492896256,หมอนการ์ตูน ของขวัญน่ารักๆ,"#ไบร์ทวิน #แว่นตาหน้ากากใส face shield กันเชื้อโควิด19 😎 
วัสดุ เป็น พลาสติกใส แข็งแรง....
ทำความสะอาดได้
ราคา  1 อัน  120.- บาท 💥💥💥 
6 อันๆละ  100.- บาท  
 #แว่นตา3m #แว่นตากันโคโรน่า #แว่นตากันเชื้อโรค #หน้ากากอนามัย #เจลแอลกอฮอล์ #หน้ากาก #คั่นกู #brightwin
 #คั่นกูEP10 https://t.co/BhbqyK8iSd",Mon Apr 27 16:44:29 +0000 2020
1254812445681397760,นิรนาม,กลับมาติดเพลงของสครับหนักมากอีกแล้ว รอบแรกตอนอ่านคั่นกูใหม่ๆ เพลงในหัวก็จะจินตนาการเรื่องราวของสารวัตรไทน์ ตอนนี้ก็กลับมาติดอีกรอบเพราะคั่นกู ภาพในหัวก็ยังเป็นภาพเรื่องราวของสารวัตรและไทน์ เปลี่ยนแค่เขาดูมีตัวตนขึ้นมาจริงๆ แต่ฟังกี่รอบก็โคตรอบอุ่นเลยว่ะ #คั่นกู #scrubb,Mon Apr 27 16:39:34 +0000 2020
